split,seed,damping,shrink_threshold,reward,nmse,support,conformal
heldout-best,70105,1.0112747213686086,0.08098682749008286,0.9307796920571771,0.9769492301429427,0.9,0.9
heldout-best,70106,1.0112747213686086,0.08098682749008286,0.8702423098323812,0.9756057745809529,0.7,0.9
heldout-best,70107,1.0112747213686086,0.08098682749008286,0.902042507451291,0.9801062686282273,0.8000000000000002,0.9
heldout-best,70108,1.0112747213686086,0.08098682749008286,0.9651439818426362,0.98785995460659,0.9,1.0
heldout-best,70109,1.0112747213686086,0.08098682749008286,0.9341654670934725,0.9854136677336811,0.8000000000000002,1.0
heldout-best,70110,1.0112747213686086,0.08098682749008286,0.9329401729446827,0.9823504323617064,0.9,0.9
heldout-best,70111,1.0112747213686086,0.08098682749008286,0.9949649236449543,0.9874123091123858,1.0,1.0
heldout-best,70112,1.0112747213686086,0.08098682749008286,0.8614888853443221,0.9537222133608052,0.7,0.9
heldout-best,70113,1.0112747213686086,0.08098682749008286,0.9338605765037264,0.9846514412593159,0.9,0.9
heldout-best,70114,1.0112747213686086,0.08098682749008286,0.8662384542160064,0.8905961355400157,0.8000000000000002,0.9
heldout-best,70115,1.0112747213686086,0.08098682749008286,0.9633839516761482,0.9834598791903706,0.9,1.0
heldout-best,70116,1.0112747213686086,0.08098682749008286,0.8956158802556302,0.8890397006390752,0.8000000000000002,1.0
heldout-best,70117,1.0112747213686086,0.08098682749008286,0.9304815673007854,0.9762039182519634,0.9,0.9
heldout-best,70118,1.0112747213686086,0.08098682749008286,0.9232137757947215,0.9580344394868037,0.9,0.9
heldout-best,70119,1.0112747213686086,0.08098682749008286,0.9288607177063404,0.9721517942658506,0.8000000000000002,1.0
heldout-best,70120,1.0112747213686086,0.08098682749008286,0.9669776779268344,0.9924441948170858,0.9,1.0
heldout-best,70121,1.0112747213686086,0.08098682749008286,0.8644786334158814,0.9611965835397035,0.7,0.9
heldout-best,70122,1.0112747213686086,0.08098682749008286,0.8349782265123254,0.8874455662808135,0.7,0.9
heldout-best,70123,1.0112747213686086,0.08098682749008286,0.9271984712541427,0.9679961781353565,0.9,0.9
heldout-best,70124,1.0112747213686086,0.08098682749008286,0.8899294850583415,0.9498237126458535,0.8000000000000002,0.9
heldout-best,70125,1.0112747213686086,0.08098682749008286,0.9005556795121705,0.976389198780426,0.8000000000000002,0.9
heldout-best,70126,1.0112747213686086,0.08098682749008286,0.895967837725334,0.9649195943133347,0.8000000000000002,0.9
heldout-best,70127,1.0112747213686086,0.08098682749008286,0.8636415437612504,0.9591038594031258,0.7,0.9
heldout-best,70128,1.0112747213686086,0.08098682749008286,0.967759991484227,0.9943999787105674,1.0,0.9
heldout-best,70129,1.0112747213686086,0.08098682749008286,0.9349784412316913,0.987446103079228,0.8000000000000002,1.0
heldout-best,70130,1.0112747213686086,0.08098682749008286,0.9609126156502934,0.9772815391257336,0.9,1.0
heldout-best,70131,1.0112747213686086,0.08098682749008286,0.9031069856429643,0.9827674641074104,0.8000000000000002,0.9
heldout-best,70132,1.0112747213686086,0.08098682749008286,0.8706211325885177,0.9765528314712942,0.7,0.9
heldout-best,70133,1.0112747213686086,0.08098682749008286,0.9947302610007822,0.9868256525019555,1.0,1.0
heldout-best,70134,1.0112747213686086,0.08098682749008286,0.9377490682406282,0.9943726706015703,0.9,0.9
heldout-best,70135,1.0112747213686086,0.08098682749008286,0.9637740852447998,0.9844352131119991,0.9,1.0
heldout-best,70136,1.0112747213686086,0.08098682749008286,0.8293344574542061,0.9483361436355152,0.6,0.9
heldout-best,70137,1.0112747213686086,0.08098682749008286,0.8335782233267408,0.8089455583168519,0.8000000000000002,0.9
heldout-best,70138,1.0112747213686086,0.08098682749008286,0.9949334593821713,0.9873336484554283,1.0,1.0
heldout-best,70139,1.0112747213686086,0.08098682749008286,0.8634417561661553,0.9586043904153881,0.7,0.9
heldout-best,70140,1.0112747213686086,0.08098682749008286,0.9622817473166808,0.9807043682917019,1.0,0.9
heldout-best,70141,1.0112747213686086,0.08098682749008286,0.8664854073130757,0.9662135182826892,0.7,0.9
heldout-best,70142,1.0112747213686086,0.08098682749008286,0.9316708660926208,0.979177165231552,0.9,0.9
heldout-best,70143,1.0112747213686086,0.08098682749008286,0.8991947242755611,0.9729868106889026,0.8000000000000002,0.9
heldout-best,70144,1.0112747213686086,0.08098682749008286,0.9967394763907573,0.991848690976893,1.0,1.0
heldout-best,70145,1.0112747213686086,0.08098682749008286,0.8942558801755072,0.9606397004387676,0.8000000000000002,0.9
heldout-best,70146,1.0112747213686086,0.08098682749008286,0.9367529063005927,0.9918822657514816,0.9,0.9
heldout-best,70147,1.0112747213686086,0.08098682749008286,0.9665584115234018,0.9913960288085043,1.0,0.9
heldout-best,70148,1.0112747213686086,0.08098682749008286,0.8981039049409689,0.9702597623524223,0.8000000000000002,0.9
heldout-best,70149,1.0112747213686086,0.08098682749008286,0.9307356824059382,0.9768392060148453,0.9,0.9
